id,hood_158,risk_index
1059,68,0.5815597558693626
1060,138,0.5871190231176389
1061,138,0.5871190231176389
1063,13,0.46095841832907
1066,55,0.5431817890186724
1068,109,0.562531941285507
1070,119,0.6243718799634084
1071,119,0.6243718799634084
1072,119,0.6243718799634084
1073,119,0.6243718799634084
1075,157,0.7208818945820902
1076,39,0.560604130617695
1078,39,0.560604130617695
1080,112,0.4679030147032762
1081,112,0.4679030147032762
1082,112,0.4679030147032762
1084,81,0.6303934119191772
1085,81,0.6303934119191772
1087,86,0.6757367503201194
1090,44,0.6539373389459034
1092,2,0.5098735270802406
1093,13,0.45692742988355484
1096,13,0.45692742988355484
1098,118,0.5337864797238433
1100,125,0.6595574526054346
1103,156,0.5751311907066389
1104,156,0.5751311907066389
1105,156,0.5751311907066389
1106,156,0.5751311907066389
1108,156,0.5751311907066389
1111,48,0.6059005887947656
1113,116,0.6316066614905413
1115,116,0.6316066614905413
1117,126,0.6402129972384526
1120,3,0.640412556742622
1122,27,0.5123272292538039
1123,162,0.6136492328425154
1126,80,0.5687793884662408
